LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,default,total_bill,total_payment,debt_ratio,avg_delay,payment_ratio
340000,1,1,2,32,-1,-1,-1,3048,5550,23337,5713,23453,4314,0,31935,33480,0.09392647059,-1,1.048379521
20000,1,2,2,24,0,0,2,14619,17216,16642,2850,0,610,0,48477,3460,2.42385,0.6666666667,0.07137405367
50000,1,3,2,25,-1,0,0,42838,37225,36087,1759,1779,320,0,116150,3858,2.323,-0.3333333333,0.03321566939
300000,2,1,1,45,-1,-1,-1,291,291,291,291,291,291,0,873,873,0.00291,-1,1
30000,2,2,2,22,0,0,0,28387,29612,30326,1686,1400,560,1,88325,3646,2.944166667,0,0.04127936598
240000,2,2,2,44,1,-2,-2,0,0,0,0,0,0,1,0,0,0,-1,0
470000,2,3,3,33,0,0,0,165254,157784,162702,6400,7566,3000,0,485740,16966,1.033489362,0,0.03492815086
360000,2,1,2,26,0,0,0,23411,27796,30400,4796,3400,3100,0,81607,11296,0.2266861111,0,0.1384194983
60000,1,3,2,30,0,0,0,26324,27471,28108,1576,1213,648,1,81903,3437,1.36505,0,0.04196427481
400000,2,2,1,44,0,0,2,131595,139060,126819,10700,3,3050,0,397474,13753,0.993685,0.6666666667,0.03460100535
50000,2,3,2,49,0,0,0,48909,47863,21489,1676,1302,700,0,118261,3678,2.36522,0,0.03110070099
160000,1,2,2,33,0,0,0,130028,107808,71934,4400,3547,70000,0,309770,77947,1.9360625,0,0.2516286277
360000,2,1,1,45,-1,-1,2,390,1170,780,1170,0,0,1,2340,1170,0.0065,0,0.5
160000,2,2,2,32,0,0,0,3826,4751,6604,1147,2000,2000,0,15181,5147,0.09488125,0,0.3390422238
130000,2,1,1,35,0,0,0,81313,117866,17740,40000,5000,1330,0,216919,46330,1.668607692,0,0.2135820283
20000,1,3,2,44,2,2,0,8583,8303,9651,0,1651,1000,0,26537,2651,1.32685,1.333333333,0.09989825527
200000,1,1,1,53,2,2,2,138180,140774,142460,6300,5500,5500,1,421414,17300,2.10707,2,0.04105226689
280000,2,1,2,39,-1,-1,-1,7524,0,3968,0,3968,0,0,11492,3968,0.04104285714,-1,0.3452836756
100000,2,1,2,27,-2,-2,-2,-81,5555,0,7555,0,0,0,5474,7555,0.05474,-2,1.38016076
160000,2,2,1,37,-1,-1,-1,880,1602,840,1602,840,840,0,3322,3282,0.0207625,-1,0.9879590608
60000,2,2,2,23,0,0,0,45648,46850,47214,1937,1301,682,0,139712,3920,2.328533333,0,0.02805771874
90000,1,2,2,35,0,0,0,83725,85996,87653,3621,3597,1179,0,257374,8397,2.859711111,0,0.03262567314
360000,1,1,1,43,-1,-1,-1,3967,8322,3394,8339,3394,12902,0,15683,24635,0.04356388889,-1,1.570809156
150000,1,1,2,27,0,0,0,86009,86108,89006,4031,10006,3266,0,261123,17303,1.74082,0,0.06626379139
50000,2,3,1,22,0,0,0,18722,18160,16997,1411,1194,379,0,53879,2984,1.07758,0,0.05538335901
20000,1,2,1,38,0,0,0,17973,19367,19559,1699,1460,626,1,56899,3785,2.84495,0,0.06652137999
140000,1,1,2,32,-2,-2,-2,672,10212,850,10212,850,415,0,11734,11477,0.08381428571,-2,0.9780978354
380000,2,1,2,30,-2,-2,-1,-81,-200,32475,223,33178,1171,0,32194,34572,0.08472105263,-1.666666667,1.073864695
480000,1,1,1,63,0,0,0,350110.68,337495.28,325030.39,16078,55693,17000,0,1012636.35,88771,2.109659062,0,0.08766325641
50000,2,3,2,22,0,0,0,44698,42254,38347,1767,1362,1002,1,125299,4131,2.50598,0,0.03296913782
60000,2,2,2,26,2,2,2,56685,55208,59175,0,5000,2511,0,171068,7511,2.851133333,2,0.04390651671
70000,2,2,2,24,-1,-1,-2,5580,0,0,0,0,0,0,5580,0,0.07971428571,-1.333333333,0
80000,2,2,1,36,-1,-1,-1,6108,2861,3277,2861,3279,3319,0,12246,9459,0.153075,-1,0.7724154826
350000,1,1,2,52,-1,-1,-1,713,2272,722,2272,722,867,0,3707,3861,0.01059142857,-1,1.041543027
130000,1,2,2,38,0,0,0,171438,178382,39940,10908,0,70000,0,389760,80908,2.998153846,0,0.2075841544
360000,1,2,1,35,1,-2,-2,-81,-103,-103,0,0,0,0,-287,0,-0.0007972222222,-1,0
330000,2,1,1,31,0,0,2,105879,108431,105594,9260,0,3593,0,319904,12853,0.9694060606,0.6666666667,0.0401776783
50000,1,3,1,47,0,0,2,13244,14722,15181,2000,1000,1000,0,43147,4000,0.86294,0.6666666667,0.09270632952
280000,1,2,1,41,2,2,2,135673,138532,134813,6500,0,14254,0,409018,20754,1.460778571,2,0.05074104318
100000,2,1,2,24,0,0,0,52128,52692,54477,2000,2677,3076,0,159297,7753,1.59297,0,0.04867009423
50000,1,2,2,41,0,0,0,19015,19294,20259,1340,1305,700,0,58568,3345,1.17136,0,0.0571130993
30000,1,1,2,24,-1,2,0,18199,17618,18631,0,1312,3000,1,54448,4312,1.814933333,0.3333333333,0.07919482809
240000,1,1,2,28,-1,-1,-1,326,326,326,326,326,5676,0,978,6328,0.004075,-1,6.470347648
80000,1,2,2,26,2,0,0,14029,15493,16630,2000,1700,1000,1,46152,4700,0.5769,0.6666666667,0.1018374068
400000,1,2,1,34,-1,-1,-1,19660,9666,11867,9677,11867,7839,0,41193,29383,0.1029825,-1,0.7133008035
240000,2,2,2,38,0,0,0,50254,51445,53015,2000,3000,3000,0,154714,8000,0.6446416667,0,0.0517083134
50000,1,3,2,37,2,2,2,46004,45976,48953,1000,4035,1000,1,140933,6035,2.81866,2,0.04282176637
450000,1,1,1,40,1,-2,-2,0,0,0,0,0,0,1,0,0,0,-1,0
110000,2,1,1,48,1,-2,-2,0,0,0,0,0,0,0,0,0,0,-1,0
310000,2,2,1,35,2,0,0,304991,311243,306314,13019,11128,8407,1,922548,32554,2.97596129,0.6666666667,0.03528705281
20000,1,1,2,27,0,0,0,19115,18962,19298,1404,1130,600,0,57375,3134,2.86875,0,0.05462309368
20000,1,2,2,23,1,-2,-2,0,0,0,0,0,0,0,0,0,0,-1,0
200000,1,3,2,52,0,0,0,110151,99530,98951,3568,3585,3602,0,308632,10755,1.54316,0,0.03484732627
180000,1,1,1,36,0,0,0,163736,116422,99278,4655,2690,2067,1,379436,9412,2.107977778,0,0.02480523725
50000,1,2,1,51,0,0,0,3347,3899,4503,1000,1066,1300,1,11749,3366,0.23498,0,0.2864924674
60000,1,3,1,55,3,2,2,60521,61450,57244,2504,7,1200,0,179215,3711,2.986916667,2.333333333,0.02070697207
30000,2,1,2,23,1,-2,-2,4000,5645,3508,5645,3508,27,0,13153,9180,0.4384333333,-1,0.6979396335
240000,1,1,2,41,1,-1,-1,95,2622,3301,2622,3301,0,0,6018,5923,0.025075,-0.3333333333,0.9842140246
420000,1,2,1,34,0,0,0,253454,247743,229049,9744,9553,7603,0,730246,26900,1.738680952,0,0.03683690154
330000,1,3,1,46,0,0,0,227389,228719,229644,8210,8095,8025,0,685752,24330,2.078036364,0,0.03547929864
30000,2,2,2,22,0,0,0,28452,26145,26712,2000,1400,0,0,81309,3400,2.7103,0,0.04181578915
240000,1,2,1,34,0,0,0,10674,12035,13681,1500,1800,0,0,36390,3300,0.151625,0,0.09068425392
150000,1,1,2,27,0,0,0,17444,19342,22000,2500,3000,3000,0,58786,8500,0.3919066667,0,0.1445922499
210000,2,2,1,33,0,0,0,7166,7997,8792,1500,1500,1000,0,23955,4000,0.1140714286,0,0.1669797537
50000,2,3,1,51,-1,-1,-1,752,300,5880,300,5880,0,1,6932,6180,0.13864,-1,0.8915175995
50000,1,1,2,24,0,0,0,50801,50143,49586,2360,1700,1000,0,150530,5060,3.0106,0,0.03361456188
240000,1,1,2,47,1,-2,-2,0,0,0,0,0,0,1,0,0,0,-1,0
180000,1,2,2,28,-1,-1,-1,1832,0,832,0,416,332,0,2664,748,0.0148,-1,0.2807807808
50000,1,2,2,23,1,2,2,10131,10833,20583,1000,10000,400,0,41547,11400,0.83094,1.666666667,0.2743880425
170000,1,2,2,29,-2,-2,-2,12159,10000,10000,10000,10000,10000,0,32159,30000,0.1891705882,-2,0.9328648279
20000,1,1,2,29,-1,-1,-1,1199,15586,344,15586,344,2340,0,17129,18270,0.85645,-1,1.066612178
50000,1,1,2,28,0,0,0,4999,5913,7315,1000,1500,2000,0,18227,4500,0.36454,0,0.2468864871
170000,2,2,2,27,0,0,0,19269,20313,20852,1661,1200,351,1,60434,3212,0.3554941176,0,0.0531488897
200000,1,1,2,34,1,2,0,197236,176192,93069,8000,5000,55500,0,466497,68500,2.332485,1,0.1468391008
80000,2,2,1,23,1,2,3,9168,10522,10205,1650,0,0,0,29895,1650,0.3736875,2,0.05519317612
260000,2,1,1,60,1,-2,-1,-81,-200,21400,0,22500,0,0,21119,22500,0.08122692308,-0.6666666667,1.065391354
140000,1,2,1,32,0,0,0,86627,78142,68336,3455,3110,5000,0,233105,11565,1.665035714,0,0.04961283542
80000,1,1,2,25,0,0,0,42444,55744,43476,30000,3000,6000,0,141664,39000,1.7708,0,0.2752992998
350000,1,1,2,41,1,-1,-1,208,2906,1000,2906,1000,630,0,4114,4536,0.01175428571,-0.3333333333,1.102576568
280000,2,2,1,56,0,0,0,208775,182350,132257,8042,6700,5137,0,523382,19879,1.869221429,0,0.03798181825
30000,2,3,2,26,0,0,0,9014,10406,11427,1700,1500,1000,0,30847,4200,1.028233333,0,0.136155866
140000,1,1,1,34,0,0,0,23944,28049,32073,5000,5000,11885,0,84066,21885,0.6004714286,0,0.2603311684
200000,2,1,2,37,0,0,0,105420,102870,89643,4000,3250,3250,0,297933,10500,1.489665,0,0.03524282305
200000,2,3,2,30,0,0,0,196031,196143,189524,7300,7108,7680,0,581698,22088,2.90849,0,0.03797159351
210000,1,3,1,45,2,3,3,115785,122904,129847,10478,10478,11078,1,368536,32034,1.754933333,2.666666667,0.08692230881
50000,1,3,1,57,3,2,0,12854,12362,13447,0,1600,500,0,38663,2100,0.77326,1.666666667,0.05431549543
30000,1,1,2,41,2,2,2,24357,27453,26718,3500,0,2200,0,78528,5700,2.6176,2,0.07258557457
50000,1,2,2,27,2,-1,-1,390,390,780,390,780,216,0,1560,1386,0.0312,0,0.8884615385
290000,1,3,1,47,-1,-1,-1,1234,396,396,396,396,792,0,2026,1584,0.006986206897,-1,0.7818361303
250000,2,1,1,34,0,0,2,141223,156858,151841,17994,0,5469,0,449922,23463,1.799688,0.6666666667,0.05214903917
60000,2,2,1,46,0,0,0,21148,23803,24908,3000,1500,1500,0,69859,6000,1.164316667,0,0.08588728725
110000,2,1,2,27,0,0,0,101640,104795,104855,5500,3900,3000,0,311290,12400,2.829909091,0,0.03983423817
370000,1,1,2,50,-2,-2,-2,6093,15130,8204,15383,8204,15413,0,29427,39000,0.07953243243,-2,1.325313488
100000,1,2,1,27,-1,2,2,102349,96847,58824,3166,0,1330,0,258020,4496,2.5802,1,0.01742500581
90000,2,2,1,35,0,0,0,72112,73854,75526,3500,3500,3652,0,221492,10652,2.461022222,0,0.04809203041
50000,2,2,2,22,0,0,0,28040,29092,29366,1510,1442,982,0,86498,3934,1.72996,0,0.04548082037
270000,1,2,2,37,0,0,0,37695,33397,30534,5000,2000,3000,0,101626,10000,0.3763925926,0,0.09840001574
300000,2,1,2,30,-1,-1,-1,688,3280,0,3288,0,4340,0,3968,7628,0.01322666667,-1,1.922379032
50000,2,2,2,22,-1,0,0,8567,15273,11650,15000,1000,149,0,35490,16149,0.7098,-0.3333333333,0.4550295858
50000,2,1,2,24,1,-2,-2,-81,-200,-200,0,0,0,1,-481,0,-0.00962,-1,0
360000,1,1,2,29,1,-2,-1,0,0,77,0,77,0,0,77,77,0.0002138888889,-0.6666666667,1
130000,1,3,1,56,1,2,2,64617,65978,67282,3000,3000,3000,1,197877,9000,1.522130769,1.666666667,0.04548279992
80000,1,1,2,30,-2,-1,0,6187,100,600,504,500,1000,0,6887,2004,0.0860875,-1,0.2909830115
50000,1,2,2,30,1,2,0,48860,47801,48363,0,1500,1000,0,145024,2500,2.90048,1,0.01723852604
20000,2,2,2,22,0,0,0,16001,12622,13221,1212,1201,500,0,41844,2913,2.0922,0,0.06961571551
80000,2,2,1,29,0,0,2,77883,81811,80250,5800,1000,600,0,239944,7400,2.9993,0.6666666667,0.03084052946
240000,1,1,2,37,-1,-1,2,12212,26578,25331,15000,0,2000,0,64121,17000,0.2671708333,0,0.2651237504
80000,2,3,2,35,0,-1,0,49608,12412,14873,12500,6500,3000,0,76893,22000,0.9611625,-0.3333333333,0.2861118697
500000,2,1,1,47,0,0,0,56422,110616,110340,66522.18,30357,30000,0,277378,126879.18,0.554756,0,0.4574233717
60000,2,2,1,24,0,0,0,58024,57891,48839,2500,1600,3000,1,164754,7100,2.7459,0,0.04309455309
20000,1,2,2,25,0,0,0,10642,11677,13070,1200,1593,601,0,35389,3394,1.76945,0,0.09590550736
100000,2,2,1,38,1,2,0,14483,13961,15323,0,1600,1500,1,43767,3100,0.43767,1,0.07082962049
360000,2,1,2,32,1,-1,-1,2616,57077,5287,57087,5295,68454,0,64980,130836,0.1805,-0.3333333333,2.013481071
200000,2,3,2,47,2,2,2,199436,202947,193936,8214,7000,6800,1,596319,22014,2.981595,2,0.03691648262
130000,2,2,1,34,1,-1,0,0,5396,10270,5396,5000,3500,0,15666,13896,0.1205076923,0,0.8870164688
20000,2,2,2,31,1,3,3,21703,21087,21461,0,1000,0,0,64251,1000,3.21255,2.333333333,0.01556396009
310000,1,1,2,32,0,0,0,59901,62147,62102,10020,6031,10057,0,184150,26108,0.5940322581,0,0.1417757263
60000,2,1,2,27,2,0,0,19625,20347,21669,1342,1664,2000,1,61641,5006,1.02735,0.6666666667,0.0812121802
180000,2,1,2,29,-1,-1,-1,11386,199,0,199,0,0,0,11585,199,0.06436111111,-1,0.01717738455
180000,2,1,2,24,-1,-1,2,14670,22087,21282,37867,0,200,0,58039,38067,0.3224388889,0,0.655886559
50000,1,2,1,36,0,0,0,47790,18114,18250,2000,1000,2000,0,84154,5000,1.68308,0,0.05941488224
50000,2,1,2,24,1,2,2,36166,37188,37680,1900,1400,1700,1,111034,5000,2.22068,1.666666667,0.04503125169
150000,2,2,1,34,-2,-2,-2,0,0,0,0,0,116,0,0,116,0,-2,0
20000,2,1,2,22,0,0,0,18553,19446,19065,1500,1032,541,0,57064,3073,2.8532,0,0.05385181551
500000,2,1,1,34,-2,-2,-2,412,138,2299,138,2299,1251,0,2849,3688,0.005698,-2,1.294489294
30000,2,3,2,22,1,2,2,29010,29256,28122,1000,85,1714,1,86388,2799,2.8796,1.666666667,0.03240033338
180000,2,1,1,38,-2,-2,-2,750,0,0,0,0,0,0,750,0,0.004166666667,-2,0
140000,1,1,2,31,0,0,2,27123,27299,17985,25000,0,3000,0,72407,28000,0.5171928571,0.6666666667,0.3867029431
140000,2,1,2,26,-1,0,-1,13424,18000,13001,10000,13001,5841,0,44425,28842,0.3173214286,-0.6666666667,0.6492290377
120000,1,2,2,26,0,0,0,107314,110578,113736,5000,5000,4152,0,331628,14152,2.763566667,0,0.04267432183
360000,2,2,1,48,0,0,0,226430,231878,234192,9100,7300,5800,0,692500,22200,1.923611111,0,0.03205776173
20000,1,3,1,43,-1,-1,0,227,20351,20237,22359,1305,1258,0,40815,24922,2.04075,-0.6666666667,0.6106088448
100000,1,1,1,47,-1,-1,-1,390,1473,390,1473,390,390,0,2253,2253,0.02253,-1,1
210000,2,2,1,41,-1,-1,-1,3088,1586,343,1586,343,3763,1,5017,5692,0.02389047619,-1,1.134542555
80000,2,2,2,24,0,0,0,81625,81554,79599,3200,3000,2038,1,242778,8238,3.034725,0,0.03393223439
330000,2,1,1,50,-1,-1,-1,8872,4337,2854,4345,2854,1702,0,16063,8901,0.04867575758,-1,0.5541306107
220000,1,1,2,24,0,0,0,105607,108917,111520,5000,5050,8303,0,326044,18353,1.482018182,0,0.0562899486
210000,2,1,1,38,1,-2,-1,0,0,250,0,250,0,1,250,250,0.00119047619,-0.6666666667,1
40000,2,3,1,43,0,0,0,38257,38901,38103,1700,1504,1200,0,115261,4404,2.881525,0,0.03820893451
30000,1,2,2,39,0,0,0,28347,28108,18388,3036,2309,0,0,74843,5345,2.494766667,0,0.0714161645
470000,1,2,2,27,2,2,2,296573,303320,307843,13000,11001,0,0,907736,24001,1.931353191,2,0.02644050693
30000,1,3,1,42,-1,-1,-1,390,390,390,390,390,240,0,1170,1020,0.039,-1,0.8717948718
240000,2,2,1,36,1,-2,-2,-81,-200,-200,0,0,0,1,-481,0,-0.002004166667,-1,0
80000,1,2,2,36,2,0,0,79278,78501,78534,3100,3500,3400,0,236313,10000,2.9539125,0.6666666667,0.04231675786
110000,2,3,3,31,0,0,0,89989,84229,79288,4000,5000,3000,0,253506,12000,2.3046,0,0.04733615772
310000,2,1,2,38,-1,-1,-1,1424,4542,126,4542,126,0,0,6092,4668,0.0196516129,-1,0.7662508207
360000,2,1,1,40,2,2,2,105167,115468,112157,12000,0,5900,1,332792,17900,0.9244222222,2,0.05378735066
330000,2,3,2,45,0,0,0,335196,334954,325030.39,12388,12378,12116,0,995180.39,36882,3.015698152,0,0.03706061772
300000,2,2,2,35,0,0,0,291619,297268,205629,12019,9006,17000,0,794516,38025,2.648386667,0,0.04785932568
320000,2,2,2,33,0,0,0,91653,94037,108597,10042,18832,2117,0,294287,30991,0.919646875,0,0.1053087632
50000,2,3,2,37,1,3,2,52626,51537,49205,0,24,1500,1,153368,1524,3.06736,2,0.009936883835
170000,2,1,2,28,0,0,0,130370,131199,128900,6530,4860,22500,0,390469,33890,2.296876471,0,0.08679306168
350000,1,3,1,44,-1,-1,-1,3265,2686,1864,2686,1864,569,0,7815,5119,0.02232857143,-1,0.6550223928
20000,1,2,1,37,0,0,0,16455,16511,18902,1609,3000,663,0,51868,5272,2.5934,0,0.1016426313
50000,1,2,2,23,2,0,0,49758,48456,44116,2401,2254,2004,1,142330,6659,2.8466,0.6666666667,0.04678563901
20000,2,3,2,24,1,2,0,19154,18165,17233,0,1333,500,0,54552,1833,2.7276,1,0.03360096788
50000,2,1,2,24,0,0,0,35084,35796,30937,2090,2002,1002,0,101817,5094,2.03634,0,0.05003093786
20000,1,2,2,23,1,2,0,20235,17132,16856,0,1200,1000,1,54223,2200,2.71115,1,0.0405731885
50000,1,2,1,26,0,0,-2,102800,0,0,0,0,2624,0,102800,2624,2.056,-0.6666666667,0.02552529183
190000,1,2,2,34,2,0,0,129801,131383,134379,5000,5000,10000,1,395563,20000,2.081910526,0.6666666667,0.05056084619
60000,2,2,1,33,0,0,0,58203,36367,20934,1506,1298,1000,0,115504,3804,1.925066667,0,0.03293392437
80000,1,1,2,35,-1,-1,-1,7988,3977,6848,3983,6853,1719,0,18813,12555,0.2351625,-1,0.6673576782
